                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4656,                 3.3313,                 1.6838,                0.02385,                0.47283,                0.20728,                 0.1048,                 1.0428,                 3.5918,                  1.521,               0.000175,               0.000175,               0.000175
                      2,                 1.4178,                 1.9653,                 1.5791,                0.83077,                 0.2041,                0.57636,                0.40087,                 1.2202,                 2.7902,                 1.5106,             0.00035891,             0.00035891,             0.00035891
                      3,                 1.4083,                 1.5789,                 1.5422,                0.75236,                0.41659,                0.55419,                 0.3403,                 1.4649,                 2.4348,                 1.6853,             0.00053911,             0.00053911,             0.00053911
                      4,                 1.3456,                 1.5036,                 1.5154,                0.54805,                0.61359,                0.53771,                0.35163,                 1.4021,                 2.8548,                 1.7591,              0.0007156,              0.0007156,              0.0007156
                      5,                 1.3186,                 1.5051,                 1.5434,                0.59786,                0.20272,                0.30413,                 0.1461,                 1.6645,                 2.6818,                 2.1291,             0.00088837,             0.00088837,             0.00088837
                      6,                 1.3628,                 1.4518,                 1.5215,                0.33376,                 0.3462,                0.33966,                0.20079,                 1.6522,                 2.3895,                 2.2187,              0.0010574,              0.0010574,              0.0010574
                      7,                 1.3295,                 1.3469,                 1.4741,                0.53612,                0.40009,                0.39292,                 0.1734,                 1.6341,                 2.5617,                 1.9265,              0.0011757,              0.0011757,              0.0011757
                      8,                  1.279,                 1.3345,                 1.4734,                0.52688,                0.48682,                0.51703,                0.30542,                 1.5652,                 2.0489,                 1.8144,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.2307,                 1.2418,                 1.4184,                0.60851,                0.55514,                0.60967,                 0.3145,                 1.5954,                 1.7081,                 1.8014,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.2641,                 1.2832,                 1.4532,                 0.6005,                0.52872,                0.54647,                0.34671,                 1.4616,                 1.8932,                 1.7514,               0.001151,               0.001151,               0.001151
                     11,                 1.2268,                  1.227,                 1.4307,                0.83319,                0.48547,                0.64329,                0.40193,                 1.2595,                 1.5715,                 1.5633,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.1773,                 1.2008,                 1.3925,                0.68503,                0.65736,                0.66664,                0.40653,                 1.3725,                 1.4243,                 1.5749,              0.0011263,              0.0011263,              0.0011263
                     13,                  1.186,                 1.1292,                 1.3884,                0.64773,                0.58913,                0.63135,                0.37946,                 1.3778,                 1.6443,                 1.6571,              0.0011139,              0.0011139,              0.0011139
